titres,descriptions
Ligue 1 : Lens inflige au Paris Saint-Germain sa première défaite de la saison,"Lens profite de ce succès pour porter à sept points son avance sur l’Olympique de Marseille (3ᵉ). Le PSG reste en tête, mais cette première défaite toutes compétitions confondues depuis le 20 mars 2022 a révélé des failles."
"Guerre en Ukraine en direct : les forces russes ont effectué trente-cinq nouvelles frappes aériennes dimanche, selon l’état-major ukrainien","Tous les engins tirés ont été détruits, a précisé l’état-major. La veille, les frappes russes du Nouvel An ont fait quatre morts et cinquante blessés, selon un bilan des autorités."
"« Regain », le journal de campagne de Daphné Hézard","Après plusieurs années à avoir œuvré pour des magazines de mode, la journaliste opère un virage en 2018 en lançant ce trimestriel consacré au renouveau paysan et à la ruralité."
"Mort de Benoît XVI, les vœux d’Emmanuel Macron pour 2023, Lula investi président au Brésil… les 5 infos à retenir du week-end","Si vous n’avez pas suivi l’actualité ce week-end, voici ce qu’il faut retenir de ces dernières quarante-huit heures."
"Au Brésil, Lula a été investi président pour la troisième fois","Dans son discours devant le Congrès, Lula s’est engagé « à reconstruire le pays, avec le peuple brésilien », évoquant le bilan « désastreux » de son prédécesseur. A 77 ans, il succède à Jair Bolsonaro, qui a quitté le pays deux jours avant la fin de son mandat."
"« The Endless Summer », sur OCS : deux surfeurs à la recherche de la vague parfaite","Tourné en 1966, le film-culte du documentariste américain Bruce Brown suit deux Californiens en Afrique, en Australie, en Nouvelle-Zélande, à Tahiti, puis à Hawaï… Toute la poésie du surf."
"La guerre en Ukraine, en images : un réveillon presque normal à Kiev","Aprés avoir vécu le précédent sous la menace du Covid-19, les habitants de la capitale ont passé une partie de leur réveillon enfermés pour échapper aux attaques russes. Malgré cela, des jeunes Kiéviens se sont rassemblés le temps d’une soirée pour célébrer la vie."
"La France, un acteur central de la souveraineté européenne des câbles sous-marins","Avec ses industriels, ses navires et sa position géographique, l’Hexagone est au cœur de l’écosystème de câblage des fonds marins. Un secteur hautement stratégique pour les communications mondiales."
Connexion Internet : « Les opérateurs télécoms européens deviennent des prestataires de services des Gafam »,"L’historien Pascal Griset décrit, dans un entretien au « Monde », l’évolution des techniques qui ont permis le transport des communications depuis la fin du XIXe siècle. Il déplore l’importance prise par les groupes américains depuis l’émergence d’Internet."
Les Gafam mettent la main sur les câbles sous-marins pour mieux contrôler Internet,"Grâce aux câbles de fibre optique sous-marins, Google, Facebook, Amazon et Microsoft dominent l’accès au Web. Les géants de la tech américains ont totalement chamboulé le modèle économique d’une industrie dont les origines remontent à l’invention du télégraphe."
"Lime de Tahiti, citron caviar, sudachi du Japon… au bonheur des agrumes","Laurent Boughaba a renoué avec ses racines marocaines en plantant un verger de plus de 250 espèces d’agrumes près de Fès. Dans sa boutique de la rue de Sèvres, à Paris, il vend ses mandarines, citrons et autres limes d’exception aux chefs étoilés, et à tous les passionnés de cuisine et de biodiversité."
Léo Ferré dans la joie de ses années italiennes et symphoniques,"Le quatrième coffret de l’intégrale du chanteur, auteur, compositeur et chef d’orchestre regroupe vingt CD dont trois d’inédits d’œuvres instrumentales."
"Au Royaume-Uni, les écologistes d’Extinction Rebellion suspendent leurs opérations coups de poing",Le mouvement fondé en 2018 préfère se concentrer sur l’organisation d’une grande manifestation le 21 avril devant le Parlement britannique.
"A Lyon, le suicide de Mohammad Moradi bouleverse et mobilise la communauté iranienne","Le geste désespéré de Mohammad Moradi, exilé qui s’est jeté dans le Rhône le 26 décembre, fait écho à la solitude et la culpabilité ressenties par les Iraniens en exil en France. Un rassemblement est prévu en sa mémoire à Lyon le 8 janvier."
"Colette Godard, critique de théâtre au « Monde », est morte","Entrée au journal en 1970, la journaliste, passionnée par les arts de la scène et découvreuse de talents, s’est éteinte à l’âge de 96 ans."
